Station ID,Station,Longitude,Latitude,# of Docks,City
1,Kaivopuisto,24.950211471402604,60.15536962384439,30,Helsinki
2,Laivasillankatu,24.956509771585697,60.1609890780501,12,Helsinki
3,Kapteeninpuistikko,24.945018163166598,60.158176911765004,16,Helsinki
4,Viiskulma,24.941775800641604,60.1609859009459,14,Helsinki
5,Sepänkatu,24.9362853002098,60.157948300589105,32,Helsinki
6,Hietalahdentori,24.929647631188196,60.1622283985805,24,Helsinki
7,Design Museum,24.945959999880298,60.163103200429106,14,Helsinki
8,Vanha kirkkopuisto,24.9391145483709,60.165353855335105,24,Helsinki
9,Erottajan aukio,24.9442610720753,60.166890083486,44,Helsinki
10,Kasarmitori,24.949472879382,60.1650171815098,28,Helsinki
11,Unioninkatu,24.951022699402102,60.1674573009106,22,Helsinki
12,Kanavaranta,24.9584922784241,60.168495912803,34,Helsinki
13,Merisotilaantori,24.9755284752386,60.167919062825206,24,Helsinki
14,Senate Square,24.952641400466298,60.169127800679796,22,Helsinki
15,Ritarikatu,24.955521860189098,60.17109068849749,12,Helsinki
16,Liisanpuistikko,24.961374699762697,60.174182200385395,16,Helsinki
17,Varsapuistikko,24.9495192737191,60.1731029004969,28,Helsinki
18,Porthania,24.9480528436015,60.169868925819394,40,Helsinki
19,Central Railway Station/East,24.942526799246203,60.170823600479096,20,Helsinki
20,Kaisaniemenpuisto,24.9433556359402,60.173234908895,22,Helsinki
21,Töölönlahdenkatu,24.939284,60.1729435,44,Helsinki
22,Central Railway Station/West,24.9397601000638,60.170606100741,16,Helsinki
23,Kiasma,24.937427900074802,60.1712579010317,30,Helsinki
24,Mannerheimintie,24.9394194995366,60.16907240076279,20,Helsinki
25,Narinkka,24.93460698,60.1700420359,40,Helsinki
26,Kamppi (M),24.9305373005368,60.1686095009089,32,Helsinki
27,Eerikinkatu,24.9358445558376,60.1673619794087,14,Helsinki
28,Lastenlehto,24.927036265960304,60.165799309419604,16,Helsinki
29,Baana,24.92257062079,60.164117381256,16,Helsinki
30,Itämerentori,24.9145164996451,60.1635309006283,40,Helsinki
31,Maria Hospital,24.922741569201303,60.1683228267673,16,Helsinki
32,Finnish Museum of Natural History,24.9318975121428,60.1713589074265,20,Helsinki
33,Hanken School of Economics,24.9250132257972,60.17116689374821,16,Helsinki
34,National Museum,24.932898315344,60.1739569072931,16,Helsinki
35,Cygnaeuksenkatu,24.928268556848398,60.1741008804356,16,Helsinki
36,Apollonkatu,24.922463298333696,60.176092787812,20,Helsinki
37,Töölönkatu,24.928352509447397,60.1775346278992,18,Helsinki
38,Töölöntori,24.9249700522855,60.1791005259377,16,Helsinki
39,Opera,24.9266869997463,60.1825529007523,24,Helsinki
40,Hakaniemi (M),24.9522579797679,60.178081643511,28,Helsinki
41,Ympyrätalo,24.9493999998455,60.180863000648,36,Helsinki
42,Haapaniemenkatu,24.9551952848703,60.1831601181109,18,Helsinki
43,Karhupuisto,24.952676299837698,60.184283300885106,24,Helsinki
44,Sörnäinen (M),24.96098,60.187736,20,Helsinki
45,Brahen kenttä,24.9508131529513,60.186790297095605,20,Helsinki
46,Diakoniapuisto,24.942749,60.186301,18,Helsinki
47,Market Square,24.9535685411148,60.165283351478394,22,Helsinki
48,Mastokatu,24.967466816529498,60.1647465061469,22,Helsinki
49,Annankatu,24.941737900710002,60.16347493328529,16,Helsinki
50,Melkonkuja,24.8861093999759,60.1498127004012,12,Helsinki
51,Itälahdenkatu,24.8812501991251,60.15066000070829,12,Helsinki
52,Heikkilänaukio,24.8793158993847,60.1540763005315,20,Helsinki
53,Heikkiläntie,24.8850653001728,60.156817000721205,12,Helsinki
54,Gyldenintie,24.876665799679603,60.1583842004274,36,Helsinki
55,Puistokaari,24.8598662694232,60.1616959625607,16,Helsinki
56,Luoteisväylä,24.860199200338396,60.165448500965205,12,Helsinki
57,Lauttasaari Shopping Center,24.8828103623045,60.160415354722204,26,Helsinki
58,Lauttasaarensilta,24.8899154000946,60.1611858260783,20,Helsinki
59,Salmisaarenranta,24.900933485819,60.1647841790627,28,Helsinki
60,Cable Factory,24.9065572669725,60.1618133723859,26,Helsinki
61,Länsisatamankatu,24.909692000659298,60.158927600475906,16,Helsinki
62,Messitytönkatu,24.915901522025198,60.16111808502521,18,Helsinki
63,Jätkäsaarenlaituri,24.921489600822,60.1619311011687,24,Helsinki
64,Tyynenmerenkatu,24.9203435489547,60.156807780266895,20,Helsinki
65,Hernesaarenranta,24.9311978237827,60.153514487558205,40,Helsinki
66,Ehrenströmintie,24.959212267726897,60.1552178363049,20,Helsinki
67,Perämiehenkatu,24.9340656851357,60.1600875931318,16,Helsinki
68,Albertinkatu,24.936805044695,60.161857487820605,20,Helsinki
69,Kalevankatu,24.9314322992008,60.1656962007403,16,Helsinki
70,Sammonpuistikko,24.922411200048,60.173147300856506,14,Helsinki
71,Hietaniemenkatu,24.907670424697,60.173333155752495,24,Helsinki
72,Eteläinen Hesperiankatu,24.915526161744104,60.1755926699257,18,Helsinki
73,Kesäkatu,24.9132503995399,60.179296701240304,14,Helsinki
74,Rajasaarentie,24.9110579020197,60.1831258146387,16,Helsinki
75,Korjaamo,24.9198837005522,60.1838637058335,24,Helsinki
76,Olympic Stadium,24.9249612452844,60.1844935162838,20,Helsinki
77,Nordenskiöldinaukio,24.917292425170803,60.1852461181691,16,Helsinki
78,Messeniuksenkatu,24.9180102002594,60.1878352008881,20,Helsinki
79,Swimming Stadium,24.9292125301789,60.189252351045894,18,Helsinki
80,Ice hall,24.9204971353412,60.1893228127242,22,Helsinki
81,Stenbäckinkatu,24.912371700706395,60.1883091004345,18,Helsinki
82,Töölöntulli,24.9128930190467,60.190923382563604,16,Helsinki
83,Meilahti Hospital,24.9083351006822,60.1902195006779,28,Helsinki
84,Paciuksenkatu,24.8999261202596,60.191206150622705,14,Helsinki
85,Jalavatie,24.9057885671908,60.1934470356136,16,Helsinki
86,Kuusitie,24.901899699881202,60.195245200996,24,Helsinki
87,Kustaankatu,24.9559903941465,60.1882073130505,20,Helsinki
88,Kiskontie,24.9012350212617,60.1990120771068,20,Helsinki
89,Tilkanvierto,24.8992505554038,60.1975748307905,16,Helsinki
90,Paciuksenkaari,24.891117900125604,60.1944475005468,20,Helsinki
91,Seurasaari,24.884764321470605,60.188434551086594,22,Helsinki
